intent,pertanyaan,jawaban,pertanyaan_clean
gangguan,"Halo, cara pengaduan tiang listrik miring gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo cara pengaduan tiang listrik miring bagaimana solusinya
gangguan,"Min, listrik mati di area sini sudah 1 jam, bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin listrik mati di area sini sudah 1 jam bisa tolong dicek
gangguan,"Permisi, ada tiang listrik mengeluarkan percikan api di komplek, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi ada tiang listrik mengeluarkan percikan api di komplek bagaimana solusinya
gangguan,"Min, mau lapor, listrik mati di kantor.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik mati di kantor
gangguan,"Min, mau lapor, listrik byar pet di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik byar pet di seluruh blok ini
gangguan,"Permisi, lapor gangguan, ada gangguan sudah 1 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi lapor gangguan ada gangguan sudah 1 jam
gangguan,"Halo, mati lampu di jalan garuda seharian ini, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mati lampu di jalan garuda seharian ini ini mengapa
gangguan,"Permisi, cara pengaduan kabel miring ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi cara pengaduan kabel miring ada perbaikan kah
gangguan,"Tolong, kenapa ya listrik byar pet terus di komplek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mengapa listrik byar pet terus di komplek
gangguan,"Min, lapor gangguan, listrik mati dari tadi pagi.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin lapor gangguan listrik mati dari tadi pagi
gangguan,cara pengaduan tiang listrik rusak ini kenapa ya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik rusak ini mengapa
gangguan,"Tolong, kenapa ya listrik jeglek terus di komplek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mengapa listrik jeglek terus di komplek
gangguan,"mau lapor, jaringan down di area sini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor jaringan down di area sini
gangguan,"Halo, lapor gangguan, listrik mati dari semalam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo lapor gangguan listrik mati dari semalam
gangguan,"Min, kenapa ya listrik jeglek terus di seluruh blok ini?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mengapa listrik jeglek terus di seluruh blok ini
gangguan,"Permisi, mau lapor, ada gangguan di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mau lapor ada gangguan di jalan garuda
gangguan,"ada gangguan di jalan garuda hampir 2 jam, bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada gangguan di jalan garuda hampir 2 jam bisa tolong dicek
gangguan,"listrik jeglek di rumah saya seharian ini, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik jeglek di rumah saya seharian ini mohon bantuannya
gangguan,"Permisi, mau lapor, listrik byar pet di kantor.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mau lapor listrik byar pet di kantor
gangguan,"Tolong, mau komplain, aliran listrik tidak stabil.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau komplain aliran listrik tidak stabil
gangguan,"Permisi, listrik padam di jalan garuda dari tadi pagi, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi listrik padam di jalan garuda dari tadi pagi mohon bantuannya
gangguan,"Min, mau lapor, listrik jeglek di kantor.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik jeglek di kantor
gangguan,"Min, lapor gangguan, ada gangguan dari semalam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin lapor gangguan ada gangguan dari semalam
gangguan,"Tolong, mau lapor, mati lampu di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau lapor mati lampu di seluruh blok ini
gangguan,"Permisi, listrik jeglek di komplek dari semalam,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi listrik jeglek di komplek dari semalam
gangguan,"lapor gangguan, listrik padam dari semalam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik padam dari semalam
gangguan,"Min, cara pengaduan kabel mengeluarkan percikan api bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin cara pengaduan kabel mengeluarkan percikan api bisa tolong dicek
gangguan,"Min, lapor gangguan, ada gangguan sudah 1 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin lapor gangguan ada gangguan sudah 1 jam
gangguan,"Permisi, mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mau komplain lampu kedap-kedip
gangguan,"Permisi, lapor gangguan, listrik mati sudah 1 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi lapor gangguan listrik mati sudah 1 jam
gangguan,"lapor gangguan, mati lampu beberapa menit lalu.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan mati lampu beberapa menit lalu
gangguan,"Tolong, mau lapor, jaringan down di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau lapor jaringan down di seluruh blok ini
gangguan,"Min, cara pengaduan kabel terbakar bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin cara pengaduan kabel terbakar bisa tolong dicek
gangguan,"Tolong, listrik padam di jalan garuda seharian ini, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong listrik padam di jalan garuda seharian ini mohon bantuannya
gangguan,"Tolong, kenapa ya listrik jeglek terus di rumah saya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mengapa listrik jeglek terus di rumah saya
gangguan,"listrik mati di wilayah kami dari semalam, bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik mati di wilayah kami dari semalam bisa tolong dicek
gangguan,"Tolong, kenapa ya listrik byar pet terus di jalan garuda?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mengapa listrik byar pet terus di jalan garuda
gangguan,"Tolong, mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau komplain lampu kedap-kedip
gangguan,"Min, mau lapor, jaringan down di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor jaringan down di seluruh blok ini
gangguan,"lapor gangguan, listrik mati dari tadi pagi.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik mati dari tadi pagi
gangguan,"Permisi, jaringan down di seluruh blok ini beberapa menit lalu, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi jaringan down di seluruh blok ini beberapa menit lalu ini mengapa
gangguan,"mau lapor, listrik padam di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor listrik padam di jalan garuda
gangguan,"Halo, mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mau komplain sekring anjlok terus
gangguan,"listrik mati di rumah saya hampir 2 jam, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik mati di rumah saya hampir 2 jam ini mengapa
gangguan,"mau komplain, aliran listrik tidak stabil.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain aliran listrik tidak stabil
gangguan,"Min, kenapa ya listrik mati terus di seluruh blok ini?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mengapa listrik mati terus di seluruh blok ini
gangguan,"mati lampu di jalan garuda sudah 1 jam, lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mati lampu di jalan garuda sudah 1 jam lapornya kemana
gangguan,cara pengaduan tiang listrik miring ini kenapa ya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik miring ini mengapa
gangguan,"Halo, kenapa ya listrik byar pet terus di area sini?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mengapa listrik byar pet terus di area sini
gangguan,"Min, mau lapor, listrik byar pet di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik byar pet di jalan garuda
gangguan,"Halo, cara pengaduan gardu putus gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo cara pengaduan gardu putus bagaimana solusinya
gangguan,"Min, cara pengaduan tiang listrik putus lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin cara pengaduan tiang listrik putus lapornya kemana
gangguan,"Halo, mau komplain, tegangan naik turun.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mau komplain tegangan naik turun
gangguan,"Halo, cara pengaduan tiang listrik berasap lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo cara pengaduan tiang listrik berasap lapornya kemana
gangguan,"Halo, lapor gangguan, listrik padam dari semalam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo lapor gangguan listrik padam dari semalam
gangguan,"Permisi, kenapa ya listrik jeglek terus di komplek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mengapa listrik jeglek terus di komplek
gangguan,"ada gardu bau gosong di komplek, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada gardu bau gosong di komplek bagaimana solusinya
gangguan,"Halo, kenapa ya listrik byar pet terus di jalan garuda?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mengapa listrik byar pet terus di jalan garuda
gangguan,"Min, mati lampu di komplek dari semalam, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mati lampu di komplek dari semalam mohon bantuannya
gangguan,"Permisi, kenapa ya listrik padam terus di kantor?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mengapa listrik padam terus di kantor
gangguan,cara pengaduan meteran rusak bisa tolong dicek?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan meteran rusak bisa tolong dicek
gangguan,"Min, listrik byar pet di seluruh blok ini sudah 1 jam, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin listrik byar pet di seluruh blok ini sudah 1 jam bagaimana solusinya
gangguan,"Tolong, ada meteran rusak di komplek, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong ada meteran rusak di komplek mohon bantuannya
gangguan,"Permisi, cara pengaduan kabel berasap","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi cara pengaduan kabel berasap
gangguan,"listrik byar pet di wilayah kami dari semalam, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik byar pet di wilayah kami dari semalam bagaimana solusinya
gangguan,"lapor gangguan, jaringan down sudah 1 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan jaringan down sudah 1 jam
gangguan,"Min, ada kabel putus di jalan garuda, lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin ada kabel putus di jalan garuda lapornya kemana
gangguan,"Halo, mau lapor, mati lampu di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mau lapor mati lampu di jalan garuda
gangguan,"listrik mati di komplek beberapa menit lalu, ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik mati di komplek beberapa menit lalu ada perbaikan kah
gangguan,"Min, mau komplain, tegangan naik turun.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau komplain tegangan naik turun
gangguan,"Permisi, mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mau komplain sekring anjlok terus
gangguan,"Min, mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau komplain sekring anjlok terus
gangguan,"Tolong, cara pengaduan kabel terbakar gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong cara pengaduan kabel terbakar bagaimana solusinya
gangguan,"mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain lampu kedap-kedip
gangguan,"Tolong, mau lapor, listrik mati di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau lapor listrik mati di seluruh blok ini
gangguan,"Min, mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau komplain lampu kedap-kedip
gangguan,"listrik padam di area sini dari semalam,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik padam di area sini dari semalam
gangguan,"Tolong, kenapa ya mati lampu terus di komplek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mengapa mati lampu terus di komplek
gangguan,"Min, jaringan down di area sini hampir 2 jam,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin jaringan down di area sini hampir 2 jam
gangguan,"Permisi, kenapa ya jaringan down terus di kantor?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mengapa jaringan down terus di kantor
