intent,pertanyaan,jawaban,pertanyaan_clean
gangguan,"mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain lampu kedap kedip
gangguan,"mati lampu di wilayah kami seharian ini, bisa dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mati lampu di wilayah kami seharian ini bisa dicek
gangguan,"ada gardu berasap di komplek, bisa dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada gardu berasap di komplek bisa dicek
gangguan,"ada kabel rusak di area sini, ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada kabel rusak di area sini ada perbaikan kah
gangguan,"mau lapor, listrik padam di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor listrik padam di seluruh blok ini
gangguan,rumah saya kena korsleting,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",rumah saya kena korsleting
gangguan,kenapa ya listrik padam terus di jalan garuda?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik padam terus di jalan garuda
gangguan,"mau komplain, tegangan naik turun.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain tegangan naik turun
gangguan,"mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain sekring anjlok terus
gangguan,cara pengaduan tiang listrik bau gosong lapornya kemana?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik bau gosong lapornya kemana
gangguan,kenapa ya listrik mati terus di komplek?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik mati terus di komplek
gangguan,"ada meteran miring di komplek, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada meteran miring di komplek ini kenapa
gangguan,"ada gardu putus di komplek,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada gardu putus di komplek
gangguan,"ada meteran berasap di kantor, ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada meteran berasap di kantor ada perbaikan kah
gangguan,cara pengaduan meteran mengeluarkan percikan api mohon bantuannya.,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan meteran mengeluarkan percikan api mohon bantuannya
gangguan,"Min, kenapa ya ada gangguan terus di seluruh blok ini?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin kenapa ada gangguan terus di seluruh blok ini
gangguan,"Min, mau komplain, aliran listrik tidak stabil.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau komplain aliran listrik tidak stabil
gangguan,"mati lampu di jalan garuda beberapa menit lalu, lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mati lampu di jalan garuda beberapa menit lalu lapornya kemana
gangguan,"ada gardu bau gosong di jalan garuda, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada gardu bau gosong di jalan garuda ini kenapa
gangguan,"Min, kenapa ya listrik mati terus di jalan garuda?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin kenapa listrik mati terus di jalan garuda
gangguan,kabel listrik menjuntai ke jalan,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kabel listrik menjuntai ke jalan
gangguan,cara pengaduan kabel rusak ini kenapa ya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan kabel rusak ini kenapa
gangguan,"Min, kenapa ya listrik jeglek terus di kantor?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin kenapa listrik jeglek terus di kantor
gangguan,"listrik mati di kantor dari semalam, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik mati di kantor dari semalam mohon bantuannya
gangguan,cara pengaduan meteran putus gimana solusinya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan meteran putus bagaimana solusinya
gangguan,"ada meteran miring di kantor, ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada meteran miring di kantor ada perbaikan kah
gangguan,gardu listrik depan rumah saya terbakar,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",gardu listrik depan rumah saya terbakar
gangguan,"ada kabel rusak di seluruh blok ini,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada kabel rusak di seluruh blok ini
gangguan,cara pengaduan tiang listrik bau gosong lapornya kemana?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik bau gosong lapornya kemana
gangguan,"Min, mau lapor, listrik jeglek di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik jeglek di seluruh blok ini
gangguan,"ada kabel bau gosong di komplek, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada kabel bau gosong di komplek bagaimana solusinya
gangguan,cara pengaduan tiang listrik miring mohon bantuannya.,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik miring mohon bantuannya
gangguan,"listrik jeglek di jalan garuda seharian ini, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik jeglek di jalan garuda seharian ini mohon bantuannya
gangguan,"mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain sekring anjlok terus
gangguan,cara pengaduan tiang listrik miring gimana solusinya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik miring bagaimana solusinya
gangguan,"Min, listrik mati di area sini sudah 1 jam, bisa dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin listrik mati di area sini sudah jam bisa dicek
gangguan,"ada tiang listrik mengeluarkan percikan api di komplek, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada tiang listrik mengeluarkan percikan api di komplek bagaimana solusinya
gangguan,"Min, mau lapor, listrik mati di kantor.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik mati di kantor
gangguan,"Min, mau lapor, listrik byar pet di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik byar pet di seluruh blok ini
gangguan,"lapor gangguan, ada gangguan sudah 1 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan ada gangguan sudah jam
gangguan,"mati lampu di jalan garuda seharian ini, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mati lampu di jalan garuda seharian ini ini kenapa
gangguan,cara pengaduan kabel miring ada perbaikan kah?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan kabel miring ada perbaikan kah
gangguan,kenapa ya listrik byar pet terus di komplek?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik byar pet terus di komplek
gangguan,"Min, lapor gangguan, listrik mati dari tadi pagi.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin lapor gangguan listrik mati dari tadi pagi
gangguan,cara pengaduan tiang listrik rusak ini kenapa ya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik rusak ini kenapa
gangguan,kenapa ya listrik jeglek terus di komplek?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik jeglek terus di komplek
gangguan,"mau lapor, jaringan down di area sini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor jaringan down di area sini
gangguan,"lapor gangguan, listrik mati dari semalam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik mati dari semalam
gangguan,"Min, kenapa ya listrik jeglek terus di seluruh blok ini?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin kenapa listrik jeglek terus di seluruh blok ini
gangguan,"mau lapor, ada gangguan di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor ada gangguan di jalan garuda
gangguan,"ada gangguan di jalan garuda hampir 2 jam, bisa dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada gangguan di jalan garuda hampir jam bisa dicek
gangguan,"listrik jeglek di rumah saya seharian ini, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik jeglek di rumah saya seharian ini mohon bantuannya
gangguan,"mau lapor, listrik byar pet di kantor.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor listrik byar pet di kantor
gangguan,"mau komplain, aliran listrik tidak stabil.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain aliran listrik tidak stabil
gangguan,"listrik padam di jalan garuda dari tadi pagi, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik padam di jalan garuda dari tadi pagi mohon bantuannya
gangguan,"Min, mau lapor, listrik jeglek di kantor.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik jeglek di kantor
gangguan,"Min, lapor gangguan, ada gangguan dari semalam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin lapor gangguan ada gangguan dari semalam
gangguan,"mau lapor, mati lampu di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor mati lampu di seluruh blok ini
gangguan,"listrik jeglek di komplek dari semalam,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik jeglek di komplek dari semalam
gangguan,"lapor gangguan, listrik padam dari semalam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik padam dari semalam
gangguan,"Min, cara pengaduan kabel mengeluarkan percikan api bisa dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin cara pengaduan kabel mengeluarkan percikan api bisa dicek
gangguan,"Min, lapor gangguan, ada gangguan sudah 1 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin lapor gangguan ada gangguan sudah jam
gangguan,"mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain lampu kedap kedip
gangguan,"lapor gangguan, listrik mati sudah 1 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik mati sudah jam
gangguan,"lapor gangguan, mati lampu beberapa menit lalu.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan mati lampu beberapa menit lalu
gangguan,"mau lapor, jaringan down di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor jaringan down di seluruh blok ini
gangguan,"Min, cara pengaduan kabel terbakar bisa dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin cara pengaduan kabel terbakar bisa dicek
gangguan,"listrik padam di jalan garuda seharian ini, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik padam di jalan garuda seharian ini mohon bantuannya
gangguan,kenapa ya listrik jeglek terus di rumah saya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik jeglek terus di rumah saya
gangguan,"listrik mati di wilayah kami dari semalam, bisa dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik mati di wilayah kami dari semalam bisa dicek
gangguan,kenapa ya listrik byar pet terus di jalan garuda?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik byar pet terus di jalan garuda
gangguan,"mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain lampu kedap kedip
gangguan,"Min, mau lapor, jaringan down di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor jaringan down di seluruh blok ini
gangguan,"lapor gangguan, listrik mati dari tadi pagi.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik mati dari tadi pagi
gangguan,"jaringan down di seluruh blok ini beberapa menit lalu, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",jaringan down di seluruh blok ini beberapa menit lalu ini kenapa
gangguan,"mau lapor, listrik padam di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor listrik padam di jalan garuda
gangguan,"mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain sekring anjlok terus
gangguan,"listrik mati di rumah saya hampir 2 jam, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik mati di rumah saya hampir jam ini kenapa
gangguan,"mau komplain, aliran listrik tidak stabil.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain aliran listrik tidak stabil
gangguan,"Min, kenapa ya listrik mati terus di seluruh blok ini?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin kenapa listrik mati terus di seluruh blok ini
gangguan,"mati lampu di jalan garuda sudah 1 jam, lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mati lampu di jalan garuda sudah jam lapornya kemana
gangguan,cara pengaduan tiang listrik miring ini kenapa ya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik miring ini kenapa
gangguan,kenapa ya listrik byar pet terus di area sini?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik byar pet terus di area sini
gangguan,"Min, mau lapor, listrik byar pet di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik byar pet di jalan garuda
gangguan,cara pengaduan gardu putus gimana solusinya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan gardu putus bagaimana solusinya
gangguan,"Min, cara pengaduan tiang listrik putus lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin cara pengaduan tiang listrik putus lapornya kemana
gangguan,"mau komplain, tegangan naik turun.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain tegangan naik turun
gangguan,cara pengaduan tiang listrik berasap lapornya kemana?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik berasap lapornya kemana
gangguan,"lapor gangguan, listrik padam dari semalam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik padam dari semalam
gangguan,kenapa ya listrik jeglek terus di komplek?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik jeglek terus di komplek
gangguan,"ada gardu bau gosong di komplek, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada gardu bau gosong di komplek bagaimana solusinya
gangguan,kenapa ya listrik byar pet terus di jalan garuda?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik byar pet terus di jalan garuda
gangguan,"Min, mati lampu di komplek dari semalam, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mati lampu di komplek dari semalam mohon bantuannya
gangguan,kenapa ya listrik padam terus di kantor?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik padam terus di kantor
gangguan,cara pengaduan meteran rusak bisa dicek?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan meteran rusak bisa dicek
gangguan,"Min, listrik byar pet di seluruh blok ini sudah 1 jam, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin listrik byar pet di seluruh blok ini sudah jam bagaimana solusinya
gangguan,"ada meteran rusak di komplek, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada meteran rusak di komplek mohon bantuannya
gangguan,cara pengaduan kabel berasap,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan kabel berasap
gangguan,"listrik byar pet di wilayah kami dari semalam, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik byar pet di wilayah kami dari semalam bagaimana solusinya
gangguan,"lapor gangguan, jaringan down sudah 1 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan jaringan down sudah jam
gangguan,"Min, ada kabel putus di jalan garuda, lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin ada kabel putus di jalan garuda lapornya kemana
gangguan,"mau lapor, mati lampu di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor mati lampu di jalan garuda
gangguan,"listrik mati di komplek beberapa menit lalu, ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik mati di komplek beberapa menit lalu ada perbaikan kah
gangguan,"Min, mau komplain, tegangan naik turun.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau komplain tegangan naik turun
gangguan,"mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain sekring anjlok terus
gangguan,"Min, mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau komplain sekring anjlok terus
gangguan,cara pengaduan kabel terbakar gimana solusinya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan kabel terbakar bagaimana solusinya
gangguan,"mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain lampu kedap kedip
gangguan,"mau lapor, listrik mati di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor listrik mati di seluruh blok ini
gangguan,"Min, mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau komplain lampu kedap kedip
gangguan,"listrik padam di area sini dari semalam,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik padam di area sini dari semalam
gangguan,kenapa ya mati lampu terus di komplek?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa mati lampu terus di komplek
gangguan,"Min, jaringan down di area sini hampir 2 jam,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin jaringan down di area sini hampir jam
gangguan,kenapa ya jaringan down terus di kantor?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa jaringan down terus di kantor
gangguan,"lapor gangguan, listrik byar pet seharian ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik byar pet seharian ini
gangguan,"Min, mau lapor, listrik jeglek di wilayah kami.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik jeglek di wilayah kami
gangguan,"mau lapor, listrik mati di komplek.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor listrik mati di komplek
gangguan,"Min, listrik mati di rumah saya beberapa menit lalu, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin listrik mati di rumah saya beberapa menit lalu ini kenapa
gangguan,"lapor gangguan, ada gangguan beberapa menit lalu.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan ada gangguan beberapa menit lalu
gangguan,"Min, ada gardu miring di area sini,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin ada gardu miring di area sini
gangguan,cara pengaduan tiang listrik berasap gimana solusinya?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik berasap bagaimana solusinya
